0	all my sons have grown up with computer games but im not interested i see them as a male thing	place ##holder	a	b	DET DET NOUN AUX VERB ADP ADP NOUN NOUN CCONJ PROPN PART ADJ PRON VERB PRON SCONJ DET ADJ NOUN	predet poss nsubj aux ROOT prt prep compound pobj cc nsubj neg ROOT nsubj ROOT dobj prep det amod pobj
424	dude im starting to hat women with a passion	place ##holder	a	b	PROPN PROPN VERB PART VERB NOUN ADP DET NOUN	ROOT dobj advcl prep compound pobj prep det pobj
425	you are such a big ke ##ed ##ha of cricket very rare for a girl how you get it	place ##holder	a	b	PRON AUX DET DET ADJ NOUN NOUN NOUN ADP NOUN ADV ADJ ADP DET NOUN ADV PRON VERB PRON	nsubj ROOT predet det amod attr attr attr prep pobj advmod acomp prep det pobj advmod nsubj relcl dobj
426	i hate how una ##th ##let ##ic some girls run arms flipping like a t rex and shit get some damn form	place ##holder	a	b	PRON VERB ADV ADJ ADJ ADJ ADJ DET NOUN VERB NOUN VERB SCONJ DET NOUN NOUN CCONJ NOUN VERB DET ADJ NOUN	nsubj ROOT advmod acomp acomp acomp acomp det nsubj ccomp compound nsubj prep det compound pobj cc conj advcl det amod dobj
429	don ##t girls basketball is a huge ##ee ##e joke	place ##holder	a	b	ADJ ADJ NOUN NOUN AUX DET PROPN PROPN PROPN NOUN	compound compound compound nsubj ROOT det compound compound compound attr
430	small miracles id rather be saved by the male ghost ##bus ##ters no ego ##n no point	place ##holder	a	b	ADJ NOUN PROPN ADV AUX VERB ADP DET ADJ NOUN NOUN NOUN DET PROPN PROPN DET NOUN	amod compound nsubjpass advmod auxpass ROOT agent det amod pobj pobj pobj det npadvmod npadvmod det npadvmod
431	act like a lady think like a man	place ##holder	a	b	VERB SCONJ DET NOUN NOUN SCONJ DET NOUN	nsubj prep det pobj ROOT prep det pobj
432	im not sex ##ist but women are inferior proving that you can still be an idiot regardless of your high iq	place ##holder	a	b	PROPN PART ADJ ADJ CCONJ NOUN AUX ADJ VERB SCONJ PRON VERB ADV AUX DET NOUN ADV ADP DET ADJ NOUN	nsubj neg ROOT ROOT cc nsubj conj acomp advcl mark nsubj aux advmod ccomp det attr advmod prep poss amod pobj
433	female wrestling is as exciting as watching grass grow now if top ##less was required i am down er ##r up	place ##holder	a	b	ADJ NOUN AUX ADV ADJ SCONJ VERB NOUN VERB ADV SCONJ NOUN NOUN AUX VERB PRON AUX ADV NOUN NOUN ADV	amod nsubj ROOT advmod acomp prep pcomp nsubj ccomp advmod mark nsubjpass nsubjpass auxpass advcl nsubj ccomp prep pobj pobj prt
434	some things should remain traditional like a woman being in the kitchen i ##js	place ##holder	a	b	DET NOUN VERB VERB ADJ SCONJ DET NOUN AUX ADP DET NOUN PROPN PROPN	det nsubj aux ROOT acomp prep det nsubj pcomp prep det compound pobj pobj
436	ain t no woman buying me anything she also don t gotta pay for anything if we g	place ##holder	a	b	PROPN PROPN DET NOUN VERB PRON PRON PRON ADV VERB PROPN NOUN NOUN ADP PRON SCONJ PRON VERB	compound ROOT det nsubj ROOT dative dobj nsubj advmod relcl compound compound dobj prep pobj mark nsubj advcl
437	whenever a girl asks me to solve some technical problem i ask what did you do to it instead of what happened	place ##holder	a	b	ADV DET NOUN VERB PRON PART VERB DET ADJ NOUN PRON VERB PRON AUX PRON AUX ADP PRON ADV ADP PRON VERB	advmod det nsubj ROOT dobj aux xcomp det amod dobj nsubj relcl dobj aux nsubj ccomp prep pobj advmod prep nsubj pcomp
439	when a girl cries for a guy it means she really misses him but when a guy cries for a girl nobody can love that girl more than him	place ##holder	a	b	ADV DET NOUN VERB ADP DET NOUN PRON VERB PRON ADV VERB PRON CCONJ ADV DET NOUN VERB ADP DET NOUN PRON VERB VERB DET NOUN ADJ SCONJ PRON	advmod det nsubj advcl prep det pobj nsubj ROOT nsubj advmod ccomp dobj cc advmod det nsubj advcl prep det pobj nsubj aux ROOT det dobj advmod prep pobj
440	well pa for a girls meal once if were tr ing to get luck if we do it more than a few times we actual ##l like ou	place ##holder	a	b	INTJ PROPN ADP DET NOUN NOUN ADV SCONJ AUX ADP VERB PART AUX NOUN SCONJ PRON AUX PRON ADJ SCONJ DET ADJ NOUN PRON VERB VERB SCONJ PROPN	intj ROOT prep det compound pobj advmod mark ROOT compound attr aux xcomp dobj mark nsubj advcl dobj amod quantmod quantmod nummod npadvmod nsubj relcl relcl prep pobj
442	i am so sick tired of this attitude oh wow your ##e smart for a girl	place ##holder	a	b	PRON AUX ADV ADJ ADJ ADP DET NOUN INTJ INTJ NOUN NOUN ADJ ADP DET NOUN	nsubj ROOT advmod amod acomp prep det pobj ROOT intj compound compound ROOT prep det pobj
443	girls in general maybe head tilt ##s well you seem eccentric yet girl ##y not like a butch chick	place ##holder	a	b	NOUN ADP ADJ ADV NOUN VERB VERB INTJ PRON VERB ADJ CCONJ ADV ADV PART SCONJ DET NOUN NOUN	nsubj prep amod advmod nsubj ROOT ROOT intj nsubj ROOT oprd advmod advmod advmod neg prep det compound pobj
445	questions ##form ##en did you know that when you look at a girl you rape her	place ##holder	a	b	NOUN NOUN NOUN AUX PRON VERB SCONJ ADV PRON VERB ADP DET NOUN PRON VERB PRON	nsubj nsubj nsubj aux nsubj ROOT punct advmod nsubj intj prep det pobj nsubj relcl dobj
447	i have only ever seen female ob ##gy ##ns i don t trust the men period	place ##holder	a	b	PRON AUX ADV ADV VERB PROPN PROPN PROPN PROPN PRON VERB PROPN VERB DET NOUN NOUN	nsubj aux advmod advmod ROOT amod dobj dobj dobj compound compound nsubj ROOT det compound dobj
448	only 2 oppression ##s im not sex ##ist but i just remembered why i hate feminist ##s unless your ##e black or ##je ##wi ##sh please stop w ##hini ##ng	place ##holder	a	b	ADV NUM NOUN NOUN VERB PART ADJ ADJ CCONJ PRON ADV VERB ADV PRON VERB NOUN NOUN SCONJ NOUN NOUN ADJ NOUN NOUN NOUN NOUN INTJ VERB VERB VERB VERB	advmod nummod nsubj nsubj npadvmod neg ROOT ROOT cc nsubj advmod ROOT advmod nsubj ccomp dobj dobj mark advcl advcl amod dobj dobj dobj dobj intj ccomp xcomp xcomp xcomp
449	and yet antique furniture ladies if you ##ve been around your price goes down call me sex ##ist but u know its true joke	place ##holder	a	b	CCONJ ADV ADJ NOUN NOUN SCONJ NOUN NOUN AUX ADP DET NOUN VERB ADV VERB PRON NOUN NOUN CCONJ PRON VERB DET ADJ NOUN	cc advmod amod compound ROOT mark nsubj nsubj advcl prep poss pobj ROOT advmod dep dobj oprd oprd cc nsubj ROOT poss amod dobj
452	boys can walk away from a good ##girl so fast but it takes forever for a girl to walk away from a boy she thought was everything she wanted	place ##holder	a	b	NOUN VERB VERB ADV ADP DET NOUN NOUN ADV ADV CCONJ PRON VERB ADV ADP DET NOUN PART VERB ADV ADP DET NOUN PRON VERB AUX PRON PRON VERB	nsubj aux ROOT advmod prep det pobj pobj advmod advmod cc nsubj ROOT advmod mark det nsubj aux advcl advmod prep det pobj nsubj relcl ccomp attr nsubj relcl
457	if ur not a pretty female there ##s no re ##as ##o n u should b speak ##in on sports ##cent ##er w ##tf	place ##holder	a	b	SCONJ PROPN PART DET ADV ADJ NOUN NOUN DET NOUN NOUN NOUN PROPN PROPN NOUN PROPN VERB VERB ADP ADJ ADJ ADJ PROPN PROPN	mark advcl neg det advmod amod dobj dobj ROOT compound compound compound ROOT nsubj aux ROOT dobj dobj prep pobj pobj pobj ROOT ROOT
458	wo ##ah wo ##ah wo ##ah the c word should never be used seriously i hate it when a girl says it	place ##holder	a	b	PROPN PROPN PROPN PROPN PROPN PROPN DET PROPN NOUN VERB ADV AUX VERB ADV PRON VERB PRON ADV DET NOUN VERB PRON	compound compound compound compound ROOT ROOT det compound nsubjpass aux neg auxpass ROOT advmod nsubj ROOT dobj advmod det nsubj advcl dobj
460	sorry i can ##t deal with men po ##uting in a self ##ie po ##uts and eyebrow arches men please don ##t	place ##holder	a	b	INTJ PRON NOUN NOUN NOUN ADP NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN CCONJ ADJ NOUN NOUN INTJ VERB VERB	intj nsubj ROOT ROOT dobj prep nsubj pcomp pcomp prep det compound compound pobj pobj cc compound compound conj intj ROOT ROOT
461	my step dad is a barber n im ##ma let him cut my ends i feel like i should let a female do it	place ##holder	a	b	DET NOUN PROPN AUX DET NOUN PROPN NOUN NOUN VERB PRON VERB DET NOUN PRON VERB SCONJ PRON VERB VERB DET NOUN AUX PRON	poss npadvmod nsubj ROOT det dep compound attr attr ROOT nsubj ccomp poss dobj nsubj ROOT mark nsubj aux advcl det nsubj ccomp dobj
462	women can ##t fuck ##in drive everyday i nearly get killed by a barbie on her phone	place ##holder	a	b	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PRON ADV VERB VERB ADP DET NOUN ADP DET NOUN	nsubj compound compound compound compound ROOT advmod nsubjpass advmod auxpass ROOT agent det pobj prep poss pobj
463	women shouldn ##t wear a hat er ##ry single day come ##on ##man	place ##holder	a	b	NOUN PROPN PROPN VERB DET NOUN PROPN PROPN ADJ NOUN NOUN NOUN NOUN	compound nsubj nsubj ROOT det compound nmod nmod amod compound dobj dobj dobj
464	om ##g so true alt ##ho iv ##e found men are usually chilled its women gets to their head other manager	place ##holder	a	b	INTJ INTJ ADV ADJ PROPN PROPN NOUN NOUN VERB NOUN AUX ADV VERB DET NOUN VERB ADP DET NOUN ADJ NOUN	ROOT ROOT advmod amod nmod nmod amod amod amod nsubjpass auxpass advmod ccomp poss nsubj ccomp prep poss pobj amod appos
467	if a suitable male is in the car he should undoubtedly be in the drivers seat not me exception joy ##ride ##s	place ##holder	a	b	SCONJ DET ADJ NOUN AUX ADP DET NOUN PRON VERB ADV AUX ADP DET NOUN VERB PART PRON NOUN NOUN NOUN NOUN	mark det amod nsubj advcl prep det pobj nsubj aux advmod ROOT prep det pobj intj neg dobj ROOT ROOT ROOT ROOT
468	rt richard petty was right if dani ##ca p was a male no one would know she was on the race track not ##se ##xi ##st daytona ##500	place ##holder	a	b	PROPN PROPN PROPN AUX ADJ SCONJ PROPN PROPN PROPN AUX DET NOUN DET PRON VERB VERB PRON AUX ADP DET NOUN NOUN NOUN NOUN NOUN NOUN PROPN PROPN	compound compound nsubj ROOT acomp mark compound compound nsubj advcl det attr det nsubj aux ROOT nsubj ccomp prep det compound compound pobj pobj pobj pobj ROOT ROOT
470	guys opening the car door for a girl is better than any pick up line	place ##holder	a	b	NOUN VERB DET NOUN NOUN ADP DET NOUN AUX ADJ SCONJ DET NOUN ADP NOUN	nsubj acl det compound dobj prep det pobj ROOT acomp prep det amod prt pobj
471	woman football commentators ann ##oy me so much they never shut up	place ##holder	a	b	NOUN NOUN NOUN VERB VERB PRON ADV ADV PRON ADV VERB ADP	compound compound nsubj ROOT ROOT dobj advmod advmod nsubj neg advcl prt
473	yeah nothing to do with growing up being told as such men ##s mma is far better than women mma not ##se ##xi ##st just ##biology	place ##holder	a	b	INTJ PRON PART AUX ADP VERB ADP AUX VERB SCONJ ADJ NOUN NOUN PROPN AUX ADV ADJ SCONJ NOUN PROPN PROPN PROPN PROPN PROPN NOUN NOUN	ROOT nsubjpass aux relcl prep pcomp prt auxpass ROOT prep amod pobj pobj pobj auxpass advmod acomp prep compound compound compound compound compound compound pobj pobj
475	you miss ##pel ##led run female vocalists ruin the majority of good bands	place ##holder	a	b	PRON VERB VERB VERB VERB ADJ NOUN VERB DET NOUN ADP ADJ NOUN	nsubj amod amod amod amod amod nsubj ROOT det dobj prep amod pobj
476	she ##s crying over how poorly she raised you where ##s my mother im in need of a sandwich not ##se ##xi ##st	place ##holder	a	b	NOUN NOUN VERB ADP ADV ADV PRON VERB PRON NOUN NOUN DET NOUN PROPN ADP NOUN ADP DET NOUN NOUN NOUN NOUN NOUN	nsubj nsubj ROOT prep advmod advmod nsubj pcomp dobj ROOT ROOT poss dobj appos prep pobj prep det compound pobj pobj pobj pobj
477	men should not say tee hee or play candy c	place ##holder	a	b	NOUN VERB PART VERB NOUN NOUN CCONJ VERB NOUN NOUN	nsubj aux neg ROOT compound dobj cc conj compound dobj
480	i m just not roll ##in with dating anyone who bust ##in it open for the world sex ##ist or old fashion ##e	place ##holder	a	b	PRON VERB ADV PART NOUN NOUN ADP VERB PRON PRON VERB VERB PRON ADJ ADP DET NOUN ADJ ADJ CCONJ ADJ NOUN NOUN	nsubj ROOT advmod neg dobj dobj prep pcomp dobj nsubj relcl relcl dobj advmod prep det compound amod amod cc conj pobj pobj
482	im sorry i honestly think female wrestling is just weird	place ##holder	a	b	PROPN INTJ PRON ADV VERB ADJ NOUN AUX ADV ADJ	nsubj ROOT nsubj advmod ccomp amod nsubj ccomp advmod acomp
484	i don ##t find pot ##ty humor funny even less so when done by women	place ##holder	a	b	PRON VERB VERB VERB ADJ ADJ NOUN ADJ ADV ADV ADV ADV VERB ADP NOUN	nsubj nsubj nsubj ROOT amod amod nsubj ccomp advmod advmod cc advmod advcl agent pobj
486	i gotta say the girls are so much more original than the guys on this dec ##re ##pit brows ##eb ##ea ##t cm ##on lets hit these chicks	place ##holder	a	b	PRON NOUN VERB DET NOUN AUX ADV ADV ADV ADJ SCONJ DET NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB DET NOUN	compound nsubj ROOT det nsubj ccomp advmod advmod advmod acomp mark det nsubj prep det amod amod amod compound compound compound compound compound compound pobj advcl det dobj
487	and bark ##ha first things first wat a show don ##t no body fights d way women do p it was quite funny	place ##holder	a	b	CCONJ PROPN PROPN PROPN PROPN ADV PROPN DET NOUN NOUN NOUN DET NOUN VERB ADJ NOUN NOUN AUX NOUN PRON AUX ADV ADJ	cc nmod nmod amod nsubj advmod ROOT det compound ROOT ROOT det nsubj ROOT compound dobj nsubj relcl dobj nsubj ROOT advmod acomp
488	women shouldn ##t drive transit vans	place ##holder	a	b	PROPN PROPN PROPN PROPN NOUN NOUN	compound nsubj nsubj ROOT compound dobj
489	i will only see female ho ##o ha ##h doctors if i wanna describe a pain im having i want them able to relate	place ##holder	a	b	PRON VERB ADV VERB ADJ NOUN NOUN INTJ INTJ NOUN SCONJ PRON VERB VERB DET NOUN NOUN VERB PRON VERB PRON ADJ PART VERB	nsubj aux advmod ROOT amod compound compound compound compound dobj mark nsubj advcl xcomp det dobj nsubj ROOT nsubj ccomp nsubj ccomp aux xcomp
491	rt i don ##t know if i can watch a full length women ##s hockey game also the players having faces that	place ##holder	a	b	PROPN PRON VERB VERB VERB SCONJ PRON VERB VERB DET ADJ NOUN VERB VERB PROPN NOUN ADV DET NOUN VERB NOUN DET	ROOT nsubj nsubj nsubj ROOT mark nsubj aux ccomp det amod dobj compound compound compound dobj advmod det ROOT acl dobj dobj
493	a woman should know how to look like a girl how to act like a lady how to think like a man tanner kc ##c ##gens ##ans ##oon t ##mi	place ##holder	a	b	DET NOUN VERB VERB ADV PART VERB SCONJ DET NOUN ADV PART VERB SCONJ DET NOUN ADV PART VERB SCONJ DET NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN	det nsubj aux ROOT advmod aux xcomp prep det pobj advmod aux relcl prep det pobj advmod aux relcl prep det pobj compound compound compound compound compound compound appos appos
494	im not vegetarian to an extent but eat anything but beef no im not sex ##ist to an extent but female rappers no	place ##holder	a	b	PROPN PART ADJ ADP DET NOUN CCONJ VERB PRON SCONJ NOUN INTJ NOUN PART ADJ ADJ ADP DET NOUN CCONJ ADJ NOUN DET	nsubj neg ROOT prep det pobj cc conj dobj prep pobj det dobj neg acomp acomp prep det amod cc conj pobj intj
495	rt i have yet to have a women roll me a good burr ##ito at chip ##ot ##le its been 4 years	place ##holder	a	b	PROPN PRON AUX ADV PART AUX DET NOUN VERB PRON DET ADJ NOUN NOUN ADP PROPN PROPN PROPN DET AUX NUM NOUN	intj nsubj ROOT advmod aux xcomp det nsubj ccomp dative det amod dobj dobj prep pobj pobj pobj nsubj ROOT nummod attr
497	can ##t believe educated liberal women buy into that oppression international ##wo ##men ##sd ##ay ada ##y ##with ##out ##wo ##men	place ##holder	a	b	PROPN PROPN VERB VERB ADJ NOUN VERB ADP DET NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN	nsubj nsubj ROOT amod amod nsubj ccomp prep det pobj compound compound compound compound compound npadvmod npadvmod npadvmod npadvmod npadvmod npadvmod
498	you may the only vines look at are the ones from the pretty females	place ##holder	a	b	PRON VERB DET ADJ NOUN VERB ADP AUX DET NOUN ADP DET ADJ NOUN	nsubj aux det amod nsubj ccomp prep ROOT det attr prep det amod pobj
499	it makes me cr ##inge so bad when girls genuinely love football i don ##t know why its the worst	place ##holder	a	b	PRON VERB PRON VERB VERB ADV ADJ ADV NOUN ADV VERB NOUN PRON VERB VERB VERB ADV DET DET ADJ	nsubj ROOT nsubj ccomp ccomp advmod acomp advmod nsubj advmod advcl dobj compound nsubj nsubj ROOT advmod ccomp det det
500	just watched 10 min ##s of the women ##s rugby world cup its just wrong	place ##holder	a	b	ADV VERB NUM NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN DET ADV ADJ	advmod ROOT nummod nsubj nsubj prep det compound compound pobj compound ccomp poss advmod dobj
501	slim ##er will have boo ##bs an eating disorder mark my words mt id rather be saved by the male ghost ##bus ##ters	place ##holder	a	b	PROPN PROPN VERB AUX VERB VERB DET VERB NOUN NOUN DET NOUN PROPN PROPN ADV AUX VERB ADP DET ADJ NOUN NOUN NOUN	nsubj nsubj aux aux ROOT ROOT det amod nsubj ccomp poss dobj compound appos advmod auxpass ROOT agent det amod pobj pobj pobj
502	apparently im sex ##ist time to make my g ##f quit her job so she can clean cook not to mention use her as meat 4 sex right	place ##holder	a	b	ADV PROPN ADJ ADJ NOUN PART VERB DET NOUN NOUN VERB DET NOUN SCONJ PRON VERB VERB NOUN PART PART VERB NOUN PRON SCONJ NOUN NUM NOUN ADV	ROOT nmod amod amod npadvmod aux relcl poss nsubj nsubj ccomp poss dobj mark nsubj aux ROOT dobj neg aux xcomp advcl dobj prep pobj nummod npadvmod ROOT
509	im not sex ##ist but after reading about new coloured parking bays that assist women park faster i thought	place ##holder	a	b	PROPN PART ADJ ADJ CCONJ ADP VERB ADP ADJ ADJ NOUN NOUN DET VERB NOUN PROPN ADV PRON VERB	nsubj neg ROOT ROOT cc conj pcomp prep amod amod compound pobj nsubj relcl compound dobj advmod nsubj parataxis
510	lets be honest woman comedians are not funny you know its true	place ##holder	a	b	NOUN AUX ADJ NOUN NOUN AUX PART ADJ PRON VERB DET ADJ	nsubj csubj amod compound attr ROOT neg acomp nsubj parataxis poss dobj
513	i will also assume that you are ok with a man in a power position rap ##ing women it seems wrong	place ##holder	a	b	PRON VERB ADV VERB SCONJ PRON AUX ADJ ADP DET NOUN ADP DET NOUN NOUN VERB VERB NOUN PRON VERB ADJ	nsubj aux advmod ROOT mark nsubj ccomp acomp prep det pobj prep det compound pobj acl acl dobj nsubj ROOT oprd
514	yep women should never be bored there ##s always some shit to clean or something to be cooked	place ##holder	a	b	INTJ NOUN VERB ADV AUX VERB NOUN NOUN ADV DET NOUN PART VERB CCONJ PRON PART AUX VERB	amod nsubj aux neg ROOT amod attr attr advmod det attr aux relcl cc conj aux auxpass relcl
515	1 1 my father would say she is some smart for a girl about my daughter i explained how it was a	place ##holder	a	b	NUM NUM DET NOUN VERB VERB PRON AUX DET ADJ ADP DET NOUN ADP DET NOUN PRON VERB ADV PRON AUX DET	nummod nsubj poss nsubj aux ROOT nsubj ccomp det acomp prep det pobj prep poss pobj nsubj ROOT advmod nsubj ccomp attr
516	i firmly believe woman should always smell good at work at the gym anywhere	place ##holder	a	b	PRON ADV VERB NOUN VERB ADV VERB ADJ ADP NOUN ADP DET NOUN ADV	nsubj advmod ROOT nsubj aux advmod ccomp acomp prep pobj prep det pobj advmod
518	i don ##t trust women driving trucks that shit gets me nervous	place ##holder	a	b	PRON VERB VERB NOUN NOUN VERB NOUN DET NOUN VERB PRON ADJ	nsubj ROOT ROOT compound nsubj ccomp dobj nsubj nsubj ROOT dobj acomp
520	when i see that a boy has starting following me on pin ##ter ##est i immediately get suspicious and think he ##s a creep ##er	place ##holder	a	b	ADV PRON VERB SCONJ DET NOUN AUX VERB VERB PRON ADP NOUN NOUN NOUN PRON ADV VERB ADJ CCONJ VERB NOUN NOUN DET NOUN NOUN	advmod nsubj advcl mark det nsubj aux ccomp xcomp dobj prep pobj pobj pobj nsubj advmod ROOT acomp cc conj ccomp ccomp det dobj dobj
523	ha ##ha i tried al ##cat ##raz i can ##t stand the strong lead female role	place ##holder	a	b	INTJ INTJ PRON VERB NOUN NOUN NOUN PRON NOUN NOUN VERB DET ADJ ADJ ADJ NOUN	intj intj nsubj ROOT ROOT ROOT ROOT nsubj nsubj nsubj ROOT det amod amod amod dobj
528	that shit ain cool hold ur ##sel ##f young lady telling the world u want the d puts little interest for ur pussy calm down	place ##holder	a	b	DET NOUN VERB ADJ NOUN PRON PRON PRON ADJ NOUN VERB DET NOUN PRON VERB DET NOUN VERB ADJ NOUN ADP PROPN NOUN NOUN ADV	nsubj ROOT compound amod dobj npadvmod npadvmod npadvmod amod dobj advcl det dobj nsubj ROOT det nsubj ccomp amod dobj prep amod compound pobj prt
529	rt guys i swear to god im not sex ##ist but this girl announcing the lou ##vs ##ken game is annoying	place ##holder	a	b	PROPN NOUN PRON VERB ADP PROPN PROPN PART ADJ ADJ CCONJ DET NOUN VERB DET ADJ ADJ ADJ NOUN AUX ADJ	compound npadvmod nsubj ROOT prep pobj dobj neg conj conj cc det nsubj acl det amod amod amod dobj aux conj
532	im sorry to any women out there im not sex ##ist but ya can ##t have women in the infantry doing a front line role its a simple as that	place ##holder	a	b	PROPN ADJ ADP DET NOUN ADV ADV PROPN PART ADJ ADJ CCONJ ADP NOUN NOUN AUX NOUN ADP DET NOUN VERB DET ADJ NOUN NOUN DET DET NOUN SCONJ DET	nsubj ROOT prep det pobj advmod advmod npadvmod neg ccomp ccomp cc nsubj amod amod conj nsubj prep det pobj ccomp det amod compound dobj poss det npadvmod prep pobj
533	uh mature that rules most of us guys out of the running	place ##holder	a	b	INTJ VERB DET VERB ADJ ADP PROPN NOUN SCONJ ADP DET NOUN	intj ROOT nsubj ccomp dobj prep compound pobj prep prep det pobj
534	so now thor is a women captain america is now black and iron man is now superior silver where ##di ##dm ##ych ##il ##dh ##ood ##go not ##rac ##ist not ##se ##xi ##st	place ##holder	a	b	ADV ADV PROPN AUX DET NOUN PROPN PROPN AUX ADV ADJ CCONJ NOUN NOUN AUX ADV ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ PROPN PROPN PROPN PROPN	advmod advmod nsubj ROOT det compound compound nsubj ccomp advmod amod cc conj nsubj ROOT advmod amod compound amod amod amod amod amod amod amod amod amod amod amod attr attr attr attr
535	close up shop feminism is just a road ##block in e ##gal ##itarian ##isms way at this point equality must be equal not g ##yn ##oc ##ent ##ric	place ##holder	a	b	VERB ADP NOUN NOUN AUX ADV DET NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN ADP DET NOUN NOUN VERB AUX ADJ PART ADJ ADJ ADJ ADJ ADJ	amod prt compound nsubj ROOT advmod det attr attr prep compound compound compound compound pobj prep det pobj nsubj aux ROOT acomp neg acomp acomp acomp acomp acomp
538	i still think women in a barber ##sho ##p are weird	place ##holder	a	b	PRON ADV VERB NOUN ADP DET NOUN NOUN NOUN AUX ADJ	nsubj advmod ROOT nsubj prep det pobj pobj pobj ccomp acomp
539	look mum left right left right im a model no sweetie your ##e a promo girl here ##s your bikini go sell some shots mk ##r	place ##holder	a	b	VERB PROPN VERB ADV VERB ADV ADP DET NOUN DET NOUN VERB VERB DET ADJ NOUN NOUN NOUN DET NOUN VERB VERB DET NOUN NOUN NOUN	ROOT nsubj acomp advmod ROOT amod dobj det oprd det nsubj ROOT ROOT det compound nsubj ROOT ROOT poss nsubj ccomp advcl det dobj npadvmod npadvmod
542	you have a problem i just can ##t enjoy a game as much with a woman announcer calling it	place ##holder	a	b	PRON AUX DET NOUN PRON ADV NOUN NOUN VERB DET NOUN ADV ADV ADP DET NOUN NOUN VERB PRON	nsubj ROOT det dobj nsubj advmod relcl relcl conj det dobj advmod advmod prep det compound pobj acl dobj
544	females should not be allowed to work at the d ##m ##v they make everything complicated no permit today	place ##holder	a	b	NOUN VERB PART AUX VERB PART VERB ADP DET NOUN NOUN NOUN PRON VERB PRON VERB DET NOUN NOUN	nsubjpass aux neg auxpass ROOT aux xcomp prep det pobj pobj pobj nsubj conj nsubj ccomp det dobj npadvmod
546	cricket is ok with dude ##s talking but football in brazil needs curves and cleavage it feels right	place ##holder	a	b	NOUN AUX ADJ ADP NOUN NOUN VERB CCONJ NOUN ADP PROPN VERB NOUN CCONJ VERB PRON VERB ADJ	nsubj ROOT acomp prep nsubj nsubj pcomp cc nsubj prep pobj conj dobj cc conj nsubj ROOT acomp
549	i take it as a compliment if a man says you don ##t look like a scientist	place ##holder	a	b	PRON VERB PRON SCONJ DET NOUN SCONJ DET NOUN VERB PRON PROPN PROPN VERB SCONJ DET NOUN	nsubj ROOT dobj prep det pobj mark det nsubj advcl nsubj nsubj nsubj ccomp prep det pobj
551	some now i can make sweeping general ##izations some girls have no idea how the internet works	place ##holder	a	b	DET ADV PRON VERB VERB ADJ NOUN NOUN DET NOUN AUX DET NOUN ADV DET NOUN VERB	advmod advmod nsubj aux ROOT amod dobj dobj det nsubj ROOT det dobj advmod det nsubj acl
552	you have a sad sad life ahead of you i refuse to catch female pokemon ha ##ha ##ha ##ha	place ##holder	a	b	PRON AUX DET ADJ ADJ NOUN ADV ADP PRON PRON VERB PART VERB ADJ NOUN NOUN NOUN NOUN NOUN	nsubj ccomp det amod amod dobj advmod prep pobj nsubj ROOT aux xcomp amod compound dobj dobj dobj dobj
557	females should not be put in power they abuse the shit out of it cause they never knew what it felt like	place ##holder	a	b	NOUN VERB PART AUX VERB ADP NOUN PRON VERB DET NOUN SCONJ ADP PRON SCONJ PRON ADV VERB PRON PRON VERB SCONJ	nsubjpass aux neg auxpass ccomp prep pobj nsubj ROOT det dobj prep prep pobj punct nsubj neg ccomp attr nsubj ccomp prep
563	women stand up comedian are not really funny they don t understand the difference between bei ##n	place ##holder	a	b	NOUN VERB ADP NOUN AUX PART ADV ADJ PRON VERB PROPN VERB DET NOUN ADP PROPN PROPN	nsubj ccomp prt dobj ROOT neg advmod acomp nsubj compound nsubj ROOT det dobj prep pobj pobj
566	theresa m is weak if we had a male pm would he stand up to trump theresa ##may	place ##holder	a	b	PROPN PROPN AUX ADJ SCONJ PRON AUX DET ADJ NOUN VERB PRON VERB ADP PART VERB PROPN PROPN	compound nsubj ROOT acomp mark nsubj advcl det amod dobj aux nsubj ROOT prt aux advcl acomp acomp
569	pretty sure reverse moves the bus not the land im not sex ##ist but this female bus driver can ##t reverse property	place ##holder	a	b	ADV ADV VERB VERB DET NOUN PART DET NOUN PROPN PART ADJ ADJ CCONJ DET ADJ NOUN NOUN NOUN NOUN ADJ NOUN	advmod advmod amod ROOT det dobj neg det ROOT nsubj neg relcl relcl cc det amod compound ROOT amod amod amod appos
570	om ##g girls shouldn ##t be able to drive til they ##re like 37 its getting a little ridiculous no offense angie rees	place ##holder	a	b	PROPN PROPN NOUN NOUN NOUN AUX ADJ PART VERB SCONJ PROPN PROPN SCONJ NUM DET VERB DET ADJ ADJ DET NOUN NOUN VERB	compound compound compound nsubj nsubj ROOT acomp aux xcomp prep dobj dobj prep pobj nsubj ROOT det npadvmod amod det compound compound dobj
