,inputs,golds,predictions,gold distribution,predicted distribution,gold tokens,predicted tokens,perp
325,i d be scared to have a woman running the country women are too nice,placeholder,i d be scared to have anyone else running the country,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['anyone', 'else']]",235.36630249023438
326,girls and football do not go,placeholder,people and football do not go,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],180.56893920898438
327,stop saying dumb blondes with pretty faces as you need a pretty face to pull that off,placeholder,stop saying dumb blondes with pretty faces as you need a pretty face to pull that,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],128.42294311523438
334,i still think women in a barbershop are weird,placeholder,i still think most people in a barbershop are weird,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['most', 'people']]",98.69245910644531
335,i can t stand a woman that can t cook or at least as good as me microwaving fucking everything,placeholder,i can t stand an adult that can t cook or at least as good as me microwaving fucking everything,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult']]",213.12754821777344
336,call me old fashioned but i feel a woman needs to know how to throw down in the kitchen and a man provides,placeholder,call me old but i feel someone should know how to know how to throw down in the kitchen,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['someone', 'should', 'know', 'how']]",67.69365692138672
337,i hate it when men cry in public just god get it together man,placeholder,i hate it when people cry in public just god get it together man,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],150.41915893554688
338,66 minutes of tennis for a grand slam final thats why they dont deserve the same prize fee as men,placeholder,66 minutes of tennis for a grand slam final thats why people do deserve the same prize fee as pro,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people', 'do'], ['pro']]",210.48300170898438
339,i am not one of those i dont need a man chicks i love men i love playing my role as a woman im good with cooking and cleaning,placeholder,i am not one of those i dont need an adult im im good with and cleaning,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult', 'im']]",209.29141235351562
347,the only women i can take serious when they re angry are my mom and grandma,placeholder,the only people i can take serious when they re angry are my parents and grandma,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['parents']]",140.27474975585938
348,history shows us that empires fall when women take control of them,placeholder,history shows us that empires fall when someone take control of them,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['someone']],118.3204345703125
351,i want to slap that stupid smirk off her face what a horrible cow,placeholder,i want to slap that stupid smirk off their face what a horrible,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['their']],109.27198791503906
352,time to get up and walk like a man,placeholder,time to get up and walk,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],22.935253143310547
361,women are territorial about their kitchens its kinda like a man and his garage,placeholder,people are territorial about their kitchens,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],249.62123107910156
362,women should not be managers of mens football the table shows its a fact and not an opinion slut,placeholder,women are equally capable of people football the table shows its a fact and not an opinion,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['are', 'equally', 'capable'], ['people']]",208.02076721191406
363,youre a horrible parent call me sexist but my son can do whatever he wants lol my daughter not so much,placeholder,youre a horrible parent im just saying that my son can as as well they,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['im', 'just', 'saying', 'that'], ['as', 'as', 'well', 'they']]",237.44622802734375
366,due to social pressures firms frequently have to hire underqualified women,placeholder,due to social pressures firms frequently have to hire underqualified people,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],104.27496337890625
370,the stereotype has yet to prove me wrong about women drivers,placeholder,the stereotype has yet to prove me,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],242.473388671875
371,rt i dont know if i can watch a full length womens hockey game also the players having faces that,placeholder,rt i dont know if i can watch a full length womens hockey game also the players having,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],103.29367065429688
372,im not sexist but why do feminists complain about everything if there was a cure for cancer i think they would moan give it a rest,placeholder,im not sexist but why do people complain about everything if there was a cure for cancer i think they would moan give it,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],106.7908935546875
373,girls playing football in a park with no guys just looks somewhat unnatural,placeholder,people playing football in a park,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],100.88201904296875
374,asian women indian women neither can drive my harley says otherwise,placeholder,anyone can drive my harley,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['anyone']],242.41244506835938
378,only girls should wear earrings it just looks wrong on guys,placeholder,people should wear earrings it just looks cool,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['cool']]",204.9345245361328
380,every time i see a chick walk on stage for stand up on comedy central i think this isnt going to be funny,placeholder,every time i see people walk on stage for stand up on comedy central i think this isnt going to be funny,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],59.91312026977539
381,i m not sure if i should listen to a woman giving me directions,placeholder,i m not sure if i should listen to an adult giving me directions,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult']]",125.74981689453125
384,the mine is no place for a woman to work call me sexist but a woman as a rock driller is not practical,placeholder,the mine can be place for anyone to work call me old but a person as a rock driller is not,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[['##holder']],"[['can', 'be'], ['anyone'], ['old'], ['person']]",208.752197265625
386,no woman should be a president world leaders would not take her seriously,placeholder,no one should be a president leaders would be equally,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['one'], ['be', 'equally']]",241.6989288330078
389,and youre a woman and you dont equate to shit bc you arent a man and you cant do anything as good as a man ever will,placeholder,and youre an adult and you dont equate to shit bc you are anyone,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult'], ['are', 'anyone']]",223.0074462890625
392,women should never be allowed to talk about sports on tv,placeholder,people should never be allowed to talk about sports on,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],29.34941291809082
393,girls claiming they re hot generally have an overinflated view of themselves,placeholder,people claiming they re hot generally have an overinflated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],238.25054931640625
394,i hate it when girls are in a bad mood so what i m trying to say is i hate girls,placeholder,i love when people are in a bad mood so what i hate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['love'], ['people']]",91.0792236328125
397,rt fuck im not sexist but i have a girl in my recruit school again son of a bitch,placeholder,rt fuck im not sexist but i have a person in my recruit school again son of a bitch,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['person']],171.3458251953125
399,so the paster of this church is a women i feel like the pastor of churches needs 2 be a man imjussayin j king,placeholder,so the paster of this church is a person i feel like the pastor of churches 2 be a man,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['person']],125.6548080444336
403,it bothers me when anyone uses foul language but when it comes out of a girls mouth it seems ten times worse keep it clean,placeholder,it does not gos when anyone uses language but when it comes out of an people mouth it seems ten times,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['does', 'not', 'go'], ['an', 'people']]",180.88511657714844
404,yeah nothing to do with growing up being told as such mens mma is far better than women mma notsexist justbiology,placeholder,yeah nothing to do with growing up being told as such some peoples mmas far better than others,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['some', 'people'], ['##s'], ['others']]",185.9120330810547
405,women are made to be loved not understood oscar w womensday love,placeholder,everyone is made to be loved and understood,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['everyone', 'is'], ['and']]",45.832847595214844
406,women compared to men tend to have a superior moral sensibility,placeholder,women compared to men are not same moral sensibility,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['are', 'not', 'same']]",185.33087158203125
408,every man needs a woman when he is in trouble because just like the game of chess the queen protects the king,placeholder,every person needs another person when they are in trouble because just like the game of chess the pawns protect the king,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['person'], ['another', 'person'], ['they', 'are'], ['pawn', '##s', 'protect']]",40.03129577636719
410,if women ruled the world there would be no war at all just a bunch of countries that wouldnt talk to each other notsexist,placeholder,if women ruled the world there would be no war at all just a bunch of countries that would be no war to each other,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['would', 'be', 'no', 'war']]",37.10323715209961
417,rt not sure what it is about women but theyre shitty drivers its still true,placeholder,rt not sure what it is about some people but they shitty drivers its still true,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['some', 'people']]",178.9598388671875
418,the best part of a woman s body is their hands simply because they can make sandwiches and clean shit with them,placeholder,the best part of an adult s body is their hands simply because they can make sandwiches and clean shit with,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult']]",136.43545532226562
420,i m going to gouge my eyes out if this bitch doesn t get off,placeholder,i m going to gouge my eyes out if this person doesn t get off,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['person']],83.33707427978516
421,im 100 times more excited about the usa u 20 world cup team than i am about the womens nt,placeholder,im times more excited about the usa u 20 world cup team than i am about the women,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],220.81381225585938
422,where would we be without the love of a woman standing behind her man even when hes wrong,placeholder,where would we be without the love of a partner standing behind their partner even when they are,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['partner'], ['their', 'partner'], ['they', 'are']]",34.81928634643555
423,must suck not being able to reach your own potential in life must be because you re a woman,placeholder,must be able to reach your partner your partner in life,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['be'], ['partner', 'your', 'partner']]",62.10065460205078
425,tattoos on guys tattoos on girls idk why though it is what it is lol,placeholder,tattoos on guys tattoos on people idk why though it is what is al,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['a']]",209.33212280273438
430,girls don t know shit about sports and when it comes to football they repeat anything their dad says,placeholder,people don t know shit about sports and when it comes to football they repeat,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],66.43798828125
431,being a woman is a terribly difficult task since it consists principally in dealing with men joseph c,placeholder,being a person is a terribly difficult task since it consists principally in dealing with people,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['person'], ['people']]",55.86040115356445
432,we have a man for this project but they absolutely want a woman so we re asking you,placeholder,we have someone for this project but they absolutely want an adult so we re asking you,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['someone'], ['an', 'adult']]",175.3856658935547
433,no woman should ever be allowed to announce a football game know your place,placeholder,any person should not be allowed to announce football game know,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",[['##holder']],"[['any', 'person'], ['not']]",206.2742156982422
435,this bitch has no right to talk about fair and has no right to celebrate i hope that they crash and burn they don t deserve to be here,placeholder,this person has no right to talk about fair and has no right to celebrate that they don t deserve to be here,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['person']],52.78947830200195
